Contract,OnlineSecurity,tenure,InternetService,TotalCharges,MonthlyCharges,PaymentMethod
1,1,18,2,407,20.1,3
0,0,1,1,93,93.3,2
1,0,9,0,259,24.1,0
0,0,28,1,2065,76.55,0
2,1,60,2,1103,19.25,1
0,1,23,2,473,20.85,2
0,0,15,1,1111,79.75,2
0,2,29,0,1801,67.45,3
2,1,56,2,1119,19.8,1
1,2,11,0,617,54.6,3
1,2,27,0,1927,69.35,1
0,0,1,1,70,70.0,2
1,0,66,1,6130,90.55,0
0,0,2,0,118,56.55,1
2,1,19,2,387,20.15,3
1,2,62,1,5791,94.95,1
1,0,51,0,3950,78.65,1
2,2,72,1,6849,94.25,0
0,0,10,1,863,89.5,2
1,2,37,0,2479,68.1,1
0,0,35,0,1655,50.15,3
0,0,10,0,629,60.95,3
0,1,1,2,20,20.15,3
0,1,26,2,493,20.25,1
2,2,72,0,5980,82.3,0
0,0,38,1,3734,99.55,2
0,0,18,1,1776,99.85,0
1,2,56,0,3019,52.7,3
1,2,36,0,1893,54.45,3
0,0,22,1,1885,88.75,2
2,0,65,1,6700,104.1,0
0,0,27,0,1389,53.8,2
0,0,29,1,1993,74.2,2
0,0,10,1,898,95.35,2
0,0,50,1,5222,104.95,2
0,0,9,1,770,86.25,2
1,1,23,2,538,24.35,3
0,2,24,0,1338,54.75,2
0,2,1,0,55,55.7,3
0,2,20,0,1398,64.4,1
1,2,58,0,3563,60.3,1
2,1,47,2,1046,20.15,3
2,2,72,1,6735,93.05,0
0,0,14,0,668,50.2,1
1,2,62,0,3425,54.75,1
0,0,37,1,2868,76.5,2
0,0,29,0,1004,34.3,2
2,1,62,2,1123,19.2,1
0,0,46,1,4391,99.8,2
0,0,2,1,167,94.2,2
0,0,50,1,4729,95.7,2
0,0,24,1,2542,104.65,2
2,0,55,1,6292,113.6,2
2,2,64,1,7334,115.1,0
0,0,4,1,355,88.95,2
0,2,6,0,161,29.45,0
0,0,1,1,76,76.45,2
2,2,37,0,2278,62.8,1
2,1,71,2,1901,24.85,0
1,2,29,0,1636,55.35,1
0,0,7,1,631,89.35,1
0,0,32,1,3145,98.85,1
0,2,59,1,5597,94.75,2
0,0,40,0,3015,74.55,2
0,0,10,0,255,29.5,3
1,1,27,2,501,19.15,3
0,0,7,1,582,86.5,2
2,1,65,2,1715,24.75,1
0,0,10,1,818,81.0,1
0,2,23,1,1936,84.4,3
2,2,47,0,4107,85.3,1
0,0,11,0,608,55.05,0
0,0,12,0,442,34.0,3
0,0,30,0,1307,44.5,2
0,0,1,1,75,75.7,2
1,0,57,1,6252,109.4,0
0,0,11,1,834,70.2,2
0,1,9,2,150,19.5,0
0,0,4,1,266,70.05,1
0,2,13,1,956,73.75,1
1,1,35,2,700,20.75,3
2,2,67,0,3521,50.95,0
1,0,51,0,2356,47.85,1
0,0,1,0,51,51.25,3
2,2,71,1,7159,100.45,2
0,0,29,1,2414,79.3,2
1,2,33,1,3361,103.75,2
1,2,11,0,402,36.05,3
0,0,13,1,1033,78.3,1
2,1,42,2,867,19.35,3
0,0,8,0,226,29.25,3
0,0,1,0,44,44.4,3
2,0,72,1,7840,108.2,2
0,0,47,1,4017,87.2,2
0,0,30,1,2509,85.45,2
1,2,51,1,5720,111.55,2
0,0,16,1,1461,94.65,0
0,0,34,1,3414,100.45,2
0,0,8,1,649,86.55,2
2,1,72,2,1871,24.85,1
1,2,60,0,4374,71.75,2
2,2,72,1,8424,115.8,0
0,1,12,2,255,20.5,3
2,2,65,0,5215,82.5,0
0,1,32,2,674,19.45,1
1,2,67,1,6341,94.35,1
1,2,45,0,3597,78.8,0
2,2,60,0,3590,59.85,1
0,0,1,0,55,55.45,2
2,2,58,0,3795,64.9,1
0,0,9,1,889,94.75,2
0,0,1,1,74,74.35,2
1,1,8,2,203,24.4,3
0,0,2,0,98,45.15,2
2,1,47,2,873,20.25,1
0,0,1,1,74,74.45,3
1,0,1,0,25,25.85,3
0,0,10,1,1060,100.6,2
1,0,29,0,788,24.85,3
2,2,58,0,4415,75.8,3
1,1,14,2,324,19.35,3
0,1,7,2,141,20.75,3
0,0,5,1,404,83.6,2
1,1,18,2,390,20.15,0
1,1,25,2,505,19.9,2
2,0,46,0,3009,64.2,1
0,0,1,0,50,50.8,2
0,2,1,0,48,48.45,0
2,2,68,1,5711,84.7,0
0,0,18,0,768,44.35,0
0,0,8,1,624,80.0,0
2,1,64,2,1240,19.55,3
0,0,4,1,346,89.2,2
2,2,63,0,4861,79.85,1
1,2,54,1,5826,105.85,2
2,2,54,0,4191,74.55,0
2,2,72,0,5102,69.85,0
0,0,4,0,207,50.95,1
2,2,72,0,6637,91.15,0
2,0,60,0,2907,49.45,1
0,0,20,1,1776,90.2,2
0,0,35,1,2419,70.55,2
0,0,2,0,91,49.05,1
0,0,26,0,1277,50.35,1
0,0,14,1,1185,82.65,2
0,0,1,1,74,74.7,2
1,1,53,2,1039,19.85,0
0,1,1,2,19,19.3,1
2,1,58,2,1131,20.3,1
0,0,5,0,286,51.0,3
2,0,53,1,5682,105.55,2
0,1,4,2,91,20.15,2
0,0,49,1,4920,98.7,2
0,0,2,1,190,90.0,1
0,0,2,1,116,67.75,2
0,0,3,1,229,74.75,1
0,0,7,1,635,93.85,2
1,0,14,0,641,44.6,2
0,2,18,1,1742,99.4,2
0,0,27,1,2272,81.3,2
2,2,66,0,3996,59.75,2
2,2,43,0,3574,86.45,1
2,2,69,1,7806,112.55,0
0,0,71,1,6669,93.25,0
0,2,50,1,4113,83.4,2
1,1,51,2,1007,19.1,2
1,2,27,0,2204,80.85,3
2,1,70,2,1360,20.05,1
0,0,2,1,195,79.6,2
0,0,6,0,267,49.65,0
0,0,59,1,6039,101.1,2
0,0,10,1,934,92.5,3
0,0,29,1,3004,98.5,2
0,1,5,2,92,20.35,3
0,0,21,1,1973,94.25,2
1,2,62,1,6613,104.3,2
2,1,36,2,754,19.45,1
0,1,3,2,64,19.85,3
2,2,69,1,8182,116.0,2
0,0,2,0,59,30.9,2
0,0,8,1,627,85.2,1
0,0,3,0,82,30.75,2
0,0,1,0,45,45.75,2
0,2,12,1,1120,98.9,0
0,0,18,1,1395,75.6,0
0,0,20,0,505,24.9,1
0,2,22,0,1254,59.0,2
0,0,5,0,221,46.0,3
2,1,24,2,553,25.15,1
2,2,64,0,4447,69.25,3
0,0,26,1,2537,98.65,2
0,0,68,1,7299,105.3,2
2,1,60,2,1093,20.6,3
1,0,25,0,1466,55.1,3
2,1,51,2,1281,25.5,3
0,2,7,0,580,81.25,0
1,1,39,2,779,19.35,0
2,2,72,0,5886,80.45,0
0,0,27,1,2462,95.0,1
1,0,56,1,4793,85.85,3
2,1,57,2,1134,19.6,0
0,2,17,1,1672,106.65,0
0,0,1,0,56,56.25,2
2,1,35,2,686,19.6,3
0,0,13,0,930,72.8,2
2,1,69,2,1375,19.75,0
0,1,1,2,19,19.25,2
0,0,7,1,544,74.65,3
2,2,72,1,8277,116.75,1
0,0,3,1,293,98.7,2
1,0,53,0,3357,61.1,2
0,0,38,1,3141,81.85,3
0,0,4,1,324,80.3,3
2,0,62,0,5193,84.5,0
0,0,1,0,49,49.05,3
0,2,46,1,3847,84.25,3
0,0,19,0,1144,59.55,2
2,2,72,0,6697,91.35,0
2,1,38,2,963,25.05,1
1,0,71,1,7472,105.7,0
0,0,16,1,1534,100.0,2
1,0,66,1,6975,105.95,1
0,0,11,1,1120,95.0,2
2,2,66,0,5714,84.0,3
0,0,28,1,2626,91.0,2
0,0,1,0,35,35.05,3
2,2,72,1,7854,109.5,1
2,1,18,2,309,19.35,3
1,1,49,2,918,19.0,1
0,0,41,1,4133,104.4,2
0,0,1,1,70,70.45,3
0,0,27,1,1893,75.5,2
0,1,5,2,93,20.65,0
1,2,43,0,1463,35.2,1
0,2,47,0,2654,55.3,2
0,2,1,0,49,49.55,0
0,0,15,0,892,59.45,2
0,0,7,1,472,71.05,2
0,1,14,2,300,19.6,1
0,0,43,1,3398,80.45,2
0,2,29,1,2467,84.45,2
1,1,46,2,1066,24.45,0
0,0,24,0,1233,49.3,1
1,2,51,0,3014,59.3,2
1,0,70,0,4138,60.35,2
0,0,12,0,505,45.9,0
0,1,3,2,68,19.65,3
0,0,9,1,762,84.45,2
0,2,15,0,1287,84.45,3
2,1,72,2,1784,24.25,1
1,1,4,2,84,20.4,3
2,2,72,1,7556,103.95,0
1,1,10,2,176,20.35,3
0,0,5,0,131,28.45,2
0,0,8,1,659,85.65,0
0,0,26,1,2351,91.25,2
2,2,68,0,4911,70.9,1
1,1,2,2,34,20.2,3
0,0,8,1,606,74.5,2
0,1,3,2,57,19.85,3
0,2,13,1,1230,98.15,3
0,0,34,1,2275,69.15,1
2,2,72,0,4575,65.7,0
0,2,21,0,1011,43.55,3
0,0,40,1,3303,84.85,2
2,2,16,0,916,54.85,3
1,0,26,0,1553,56.05,3
0,0,49,1,4853,99.05,0
2,1,46,2,908,19.2,1
0,0,11,1,868,79.5,0
2,2,72,0,6033,84.45,3
2,1,47,2,943,20.45,0
0,1,1,2,19,19.25,3
0,2,59,1,5496,89.75,2
2,2,71,0,6365,87.95,0
1,1,25,2,520,20.05,3
2,2,72,1,7919,107.7,1
0,1,2,2,32,20.0,3
1,2,35,0,2215,62.15,0
1,2,71,1,7288,104.65,0
0,0,15,1,1285,94.65,2
1,1,2,2,34,20.45,3
0,0,26,1,2015,79.3,0
0,2,3,1,273,88.3,3
2,0,49,0,2398,49.8,3
0,0,27,1,1929,75.75,0
0,0,3,0,147,50.5,3
1,0,45,0,2264,51.0,0
1,0,37,1,3778,104.5,1
2,2,72,1,8477,116.85,0
1,2,62,1,5755,92.05,2
2,0,54,0,3246,59.8,0
1,2,15,1,1667,101.9,2
0,1,1,2,20,20.05,0
0,0,1,0,25,25.2,2
2,2,72,0,4390,61.2,1
1,2,30,0,2427,79.3,1
0,0,40,1,3126,78.85,1
2,2,71,0,5224,71.1,3
0,0,18,0,600,33.5,1
0,0,17,0,382,25.1,1
2,1,40,2,804,20.15,3
2,0,72,1,7882,110.8,1
0,1,2,2,39,19.75,3
1,1,53,2,1301,24.05,0
2,2,71,1,8564,116.25,2
0,2,20,1,1901,96.55,2
0,0,7,0,370,54.85,3
0,2,15,1,1302,84.35,1
2,1,72,2,1709,24.05,0
2,1,39,2,903,23.8,3
2,1,45,2,1121,25.5,3
0,0,5,1,424,84.0,2
1,2,47,0,1798,39.65,1
0,1,4,2,63,19.85,2
0,2,47,1,4669,100.75,3
0,2,33,1,3275,95.3,0
0,1,15,2,394,25.25,2
0,0,66,1,5976,89.4,1
0,0,6,1,521,90.1,2
0,1,17,2,340,19.7,1
0,0,41,1,3848,94.9,0
1,0,56,1,5515,99.8,1
0,0,28,0,1505,54.9,1
2,0,72,0,3784,53.65,1
0,2,1,0,49,49.75,2
0,2,56,1,5893,106.6,1
2,2,70,0,5536,79.15,3
1,0,44,1,3974,90.65,0
0,0,2,0,81,44.35,2
2,2,58,0,4230,71.6,1
1,2,48,0,3887,83.45,1
0,0,11,1,888,84.8,2
2,2,72,1,8425,115.55,2
2,2,72,0,2962,42.1,0
0,0,26,1,2196,85.9,1
0,2,52,0,2020,39.9,2
2,1,52,2,1078,20.1,0
0,2,27,0,1461,53.45,3
0,0,1,1,79,79.05,2
0,0,45,1,3775,81.4,0
0,0,61,1,5500,89.2,3
0,2,2,1,137,80.45,2
0,0,11,0,740,66.35,2
1,2,21,0,1258,60.25,2
0,0,1,1,71,71.15,2
0,0,6,1,560,98.25,2
2,2,71,0,5357,73.5,1
2,2,72,0,5011,70.65,1
1,2,67,0,4119,60.95,0
1,0,21,0,1215,58.85,1
2,1,72,2,1421,19.7,1
1,1,33,2,620,20.1,1
0,0,3,1,292,95.2,2
0,0,31,1,3019,93.8,2
1,0,55,0,2743,50.05,0
0,0,1,1,74,74.35,2
0,1,10,2,163,18.85,3
0,1,1,2,20,20.45,3
0,0,14,1,1273,95.6,2
1,0,66,1,4859,74.25,0
2,2,72,1,7657,106.1,1
0,2,11,0,346,29.6,2
0,2,32,1,2979,93.4,1
0,0,7,1,700,101.95,2
1,2,31,0,1848,59.95,2
1,2,61,0,2696,43.7,1
0,0,1,1,70,70.15,2
2,0,71,1,7413,104.05,0
0,0,1,1,70,70.6,3
0,0,3,1,237,90.7,3
0,0,4,1,330,78.45,2
1,2,27,1,2220,85.9,2
0,0,3,1,293,95.4,2
0,1,1,2,20,20.3,3
2,2,72,0,6339,89.7,1
1,2,61,0,3088,50.7,0
2,2,68,1,7467,110.2,2
0,1,2,2,39,20.7,0
0,1,9,2,238,20.15,0
2,1,31,2,609,20.4,0
0,0,3,1,215,74.4,0
0,0,35,1,3782,109.95,2
1,1,15,2,302,20.1,1
0,0,1,1,89,89.3,2
0,0,42,1,4512,106.15,0
0,0,1,0,45,45.4,3
2,0,71,1,6849,95.75,1
2,1,50,2,930,20.15,0
2,1,55,2,1388,25.65,1
2,2,47,0,3496,74.05,3
2,1,27,2,520,19.55,0
1,1,25,2,527,19.9,1
0,0,36,1,3615,99.15,2
1,0,9,1,767,90.35,2
1,0,45,1,4735,102.15,0
2,0,63,0,5034,79.8,1
0,0,8,0,564,68.55,2
2,2,72,0,4566,65.6,0
0,0,17,1,1400,80.85,2
0,2,51,1,3807,77.5,2
2,1,8,2,161,20.85,3
0,1,3,2,58,19.75,2
2,1,71,2,1663,23.9,1
2,2,65,1,5968,92.7,1
2,2,72,1,7767,108.4,1
2,2,72,0,4719,64.8,1
2,2,69,1,7430,110.05,1
2,2,62,0,2618,43.7,0
1,2,54,1,6431,115.6,0
2,1,3,2,52,19.1,3
0,2,23,0,1406,59.95,0
0,1,35,2,739,20.75,0
0,2,52,0,2535,49.75,0
0,2,2,1,168,91.15,2
2,1,64,2,1274,19.7,0
0,0,1,0,24,24.4,2
0,0,60,1,4453,74.35,0
0,0,3,0,99,35.15,2
2,2,72,1,7589,105.0,1
0,0,3,1,256,85.7,1
0,1,34,2,780,24.7,2
0,0,43,1,3161,75.35,1
1,0,66,1,6976,102.85,1
0,1,10,2,223,24.8,1
1,0,35,1,3626,102.35,0
0,1,1,2,20,20.25,3
0,0,29,0,1323,48.95,0
0,0,50,1,3557,69.75,0
0,0,1,1,75,75.1,2
1,0,23,0,1509,64.9,0
0,0,13,1,896,74.4,1
0,2,68,0,3687,54.45,3
2,1,15,2,331,19.6,3
1,0,44,0,3250,70.95,2
0,0,40,1,3532,83.85,0
2,1,48,2,1183,24.0,1
0,0,1,0,75,75.5,2
1,2,53,0,2879,53.6,2
0,0,19,0,839,44.9,3
0,0,1,0,44,44.15,0
1,0,39,1,3219,81.9,2
1,0,43,1,4451,104.3,1
0,0,4,1,341,87.1,3
2,2,71,0,5708,80.6,0
0,0,47,1,4045,85.3,2
0,0,29,1,1974,70.75,2
1,2,58,0,2540,45.35,2
0,0,15,0,679,49.1,2
2,2,72,1,6052,84.05,0
0,0,43,0,2342,55.55,1
0,0,25,1,2514,98.5,2
0,1,2,2,41,20.35,3
0,0,5,0,202,44.05,1
0,0,15,0,867,59.65,0
2,1,11,2,225,19.65,3
0,1,37,2,911,26.45,3
0,0,11,1,1129,100.75,2
0,2,17,0,1215,74.55,3
1,0,62,1,5936,97.95,1
0,0,27,0,1291,49.0,3
1,1,25,2,507,20.2,0
2,1,50,2,1013,19.8,2
0,0,69,1,7007,99.45,1
1,1,28,2,672,25.55,3
2,1,35,2,759,20.5,0
1,1,29,2,529,19.1,3
1,0,65,1,6792,103.15,0
1,1,35,2,666,19.9,2
2,1,51,2,1086,19.55,1
0,0,4,0,191,45.65,3
2,0,65,0,5324,84.2,0
1,2,23,1,2292,99.95,1
0,2,38,1,3162,80.45,3
0,0,43,1,3645,84.85,2
2,1,12,2,274,25.25,1
1,2,65,1,6643,100.15,0
0,0,14,1,1346,95.8,2
0,0,20,1,1734,85.25,2
2,2,56,0,3346,61.3,1
0,0,42,0,1097,25.1,1
0,0,11,1,818,72.9,2
0,0,2,1,184,82.0,2
0,1,3,2,60,19.65,3
0,0,1,1,69,69.35,2
2,1,11,2,223,19.55,1
0,0,3,0,209,65.25,3
0,1,1,2,19,19.55,3
2,1,68,2,1303,19.95,0
1,1,53,2,1068,20.2,1
1,2,60,1,6176,101.4,0
1,0,66,1,6000,88.9,0
1,2,28,0,1654,59.0,3
0,0,5,1,302,70.05,2
0,2,24,0,971,39.1,0
1,0,45,0,2319,54.15,1
0,0,6,1,518,94.05,3
1,2,64,1,5017,80.3,1
0,0,58,1,5305,92.85,2
0,0,5,1,446,83.15,1
0,0,31,0,1882,59.05,1
0,0,35,1,3527,100.25,2
0,1,5,2,83,20.2,3
0,0,16,1,1205,69.95,1
1,0,72,1,7629,105.75,1
1,2,60,1,5811,94.15,0
2,1,67,2,1688,26.3,3
2,2,72,1,6563,90.35,0
1,1,50,2,943,19.85,0
0,1,10,2,226,24.0,2
0,0,4,1,384,97.95,2
0,0,4,1,321,74.9,2
0,0,23,1,1975,86.8,2
0,0,6,1,497,79.7,2
0,0,12,0,827,74.75,0
0,1,10,2,252,20.55,3
0,2,12,1,959,84.6,2
1,2,22,0,1544,67.5,0
0,2,47,1,3545,75.45,1
0,0,24,1,2407,98.75,2
1,2,34,0,2088,64.4,3
0,1,9,2,204,21.25,3
0,2,28,1,2068,74.9,0
2,2,69,0,4254,64.15,1
0,0,39,0,1905,50.65,1
1,2,27,1,2857,110.5,0
1,1,2,2,38,20.5,0
0,1,1,2,19,19.4,3
1,2,65,1,5769,89.75,2
1,2,28,0,1546,54.3,3
0,0,12,1,1059,84.45,2
0,0,1,1,70,70.45,3
0,0,27,1,2180,79.5,2
2,1,66,2,1672,25.3,1
2,2,72,0,4265,59.75,0
1,2,58,1,5125,89.85,0
0,0,7,1,673,99.8,2
0,2,17,1,1607,94.4,2
2,1,70,2,1685,24.7,0
0,0,1,0,45,45.6,3
1,1,64,2,1642,24.7,3
0,0,55,1,4266,77.75,1
1,0,51,1,3974,79.6,0
0,0,5,1,474,85.2,2
2,2,43,1,4895,115.05,1
0,0,53,1,5549,101.9,2
2,1,63,2,1275,19.7,3
2,1,27,2,531,20.35,1
0,2,22,0,1545,69.75,3
0,2,6,1,503,85.15,0
0,2,31,1,2823,89.3,2
0,2,64,1,5135,81.05,2
1,1,71,2,1539,20.85,2
2,2,68,0,3794,54.1,0
0,2,1,0,53,53.55,3
0,2,64,1,6548,103.5,0
0,0,2,0,132,70.3,2
0,0,1,0,44,44.0,2
0,0,28,0,1802,64.4,2
0,1,2,2,36,20.25,3
2,2,72,0,6448,89.55,1
1,0,28,1,2483,91.25,0
1,2,55,1,5448,100.9,3
2,2,65,0,4386,71.0,0
0,0,34,1,3625,108.9,2
1,2,53,0,3229,60.05,2
2,1,37,2,726,19.8,0
0,0,15,1,1269,85.9,0
2,2,71,0,5832,82.55,2
0,2,7,1,533,74.35,3
2,0,67,1,7530,111.2,0
0,0,52,1,5088,95.65,1
1,0,69,1,7493,108.75,0
1,2,24,0,1821,74.8,3
0,2,7,0,571,78.5,2
1,1,39,2,958,25.45,0
2,1,50,2,1067,20.55,3
1,0,71,1,6962,98.65,1
2,1,13,2,265,19.55,3
0,1,1,2,18,18.85,2
0,0,29,1,2607,94.2,2
0,0,27,0,2310,83.85,2
1,0,48,0,2651,55.8,1
0,0,6,1,531,91.0,2
1,0,59,0,4541,76.75,1
0,2,30,1,3181,105.7,0
1,1,32,2,654,20.55,0
0,0,3,1,266,92.0,2
0,0,5,0,259,55.7,3
2,2,70,0,6293,89.0,0
0,0,1,1,69,69.9,2
2,2,54,0,4965,91.3,1
2,2,72,1,7548,106.1,1
2,2,66,0,4378,65.7,0
0,2,9,0,539,58.5,3
2,2,41,0,3126,78.45,2
2,2,71,0,5831,82.7,0
2,2,72,1,8240,110.9,1
2,0,72,1,7982,110.45,0
0,0,12,1,1029,83.8,3
1,0,55,0,3627,64.2,2
2,0,72,1,7346,103.75,0
0,0,65,1,7082,108.8,0
0,0,6,1,502,80.5,2
0,0,4,1,273,70.9,0
1,2,62,1,6529,102.0,2
2,1,67,2,1620,24.65,0
0,0,8,1,773,94.0,2
2,1,72,2,1521,20.8,3
1,0,66,0,3027,45.55,0
0,0,10,0,794,72.15,1
1,2,43,1,4830,109.55,3
0,2,22,0,1422,61.15,3
0,0,12,1,912,81.45,2
0,0,10,0,436,45.8,1
1,2,27,0,1421,48.7,1
0,1,8,2,163,20.05,3
2,1,12,2,224,20.3,0
2,2,71,0,3888,53.95,0
0,2,50,1,5341,105.95,1
1,2,70,1,7930,108.15,1
0,0,7,0,333,44.75,2
0,2,46,1,4541,100.7,2
0,0,6,0,273,48.95,1
0,0,6,1,487,89.25,2
1,1,47,2,1250,26.9,2
0,2,36,1,3366,93.6,2
0,0,8,1,740,94.7,2
1,0,40,0,2448,60.3,3
1,2,61,1,6363,104.0,2
2,2,72,1,7114,97.95,1
1,2,39,1,3877,99.1,3
0,1,8,2,161,19.55,0
0,0,1,1,89,89.1,2
2,2,33,0,2016,59.55,0
0,0,31,1,2697,86.55,1
0,0,9,1,853,89.45,2
2,1,70,2,1328,19.85,1
1,1,55,2,1026,19.5,3
0,1,4,2,93,19.4,3
1,2,48,0,3682,78.75,1
2,1,61,2,1124,19.75,3
0,0,2,1,153,69.3,2
0,0,6,0,288,50.8,0
0,0,3,0,79,29.6,2
1,0,22,0,903,43.75,0
1,0,33,1,2684,79.95,0
0,0,12,1,1132,99.95,3
2,2,72,1,8333,114.65,0
0,2,58,0,3791,65.25,1
1,0,59,1,5084,85.55,2
1,0,34,0,2753,77.2,0
2,1,52,2,1229,24.8,3
0,0,10,0,402,45.55,2
0,0,16,0,1023,59.4,2
1,2,58,1,6287,108.85,2
0,0,10,1,1048,94.9,2
0,0,3,1,244,89.85,3
2,1,69,2,1436,19.8,1
0,2,13,0,394,30.85,0
0,0,25,1,2257,89.15,0
0,1,1,2,20,20.05,3
0,0,1,0,62,62.05,3
2,2,68,1,7149,102.1,0
0,0,1,1,90,90.85,1
0,0,8,1,819,100.85,2
0,0,1,0,25,25.25,2
0,2,46,0,2459,53.1,2
0,0,45,1,4747,103.65,0
0,2,8,1,847,103.35,0
0,0,5,1,462,94.85,0
0,0,22,1,2157,93.2,3
0,0,58,1,5817,95.3,2
0,0,51,0,2553,49.65,2
0,2,39,0,1880,48.95,1
1,1,26,2,684,26.0,3
0,0,53,1,4517,85.45,0
0,0,1,1,80,80.0,2
0,0,1,0,29,29.95,0
0,0,18,1,1601,85.6,2
2,1,46,2,902,20.05,0
0,0,3,1,267,79.25,2
0,0,12,0,480,44.55,2
0,0,14,0,771,55.0,2
0,0,5,1,331,70.25,3
1,0,28,1,2799,100.35,0
0,0,59,1,5574,93.85,0
0,0,10,0,435,44.85,1
1,2,21,0,1714,80.9,3
